# Dataset: Baghewala Digital Twin - CSS Production Daily Telemetry
# Version: 1.3.0
# Generated: 2026-08-27T13:55:00Z
# Description: Multi-cycle daily production data for 5 wells across 3 CSS cycles each
# Schema: WellState Canonical v1.0 (Macro Domain)
# Physics Models: Boberg-Lantz Thermal Decay, Andrade-Arrhenius Viscosity, Vogel IPR
# Field: Baghewala, Jaisalmer, Rajasthan (Jodhpur Sandstone)
# Wells: BGW-04, BGW-05, BGW-08, BGW-11, BGW-15
# Cycles: 3 per well (15 total)
# Reservoir Temp: 46-48°C | Crude API: 17-19° | Peak BHT: 140-220°C
# Random Seed: 42 | Noise: 2% Gaussian | Missing: 2% | Out-of-range: 1%
well_id,cycle_id,cycle_number,ts,cycle_day,phase,surface_temp_c,injection_temp_c,bottomhole_temp_c_estimated,viscosity_cp,oil_rate_bopd,water_cut_pct,gross_fluid_bpd,sor_instantaneous,sor_cumulative,cumulative_oil_bbl,cumulative_steam_m3,pressure_in_psi,pressure_out_psi,spm,motor_current_a,energy_kwh_day,fmi,rod_floating_risk_pct,operating_state,net_value_inr_day,source,quality_flag,label_source
BGW-04,CYC-001,1,2025-02-08T00:00:00+00:00,1.0,inject,,260.9196164235342,,,0.0,,0.0,,,0.0,111.6167224336399,,,,,0.0,,0.0,Normal,0.0,synthetic,ok,ground_truth
BGW-04,CYC-001,1,2025-02-09T00:00:00+00:00,2.0,inject,,292.07805082202464,999.9,,0.0,,0.0,,,0.0,353.231237992849,,,,,0.0,,0.0,Normal,0.0,synthetic,out_of_range,ground_truth
BGW-04,CYC-001,1,2025-02-10T00:00:00+00:00,3.0,inject,,317.8936896513396,,,0.0,,0.0,,,0.0,619.7197661529333,,,,,0.0,,0.0,Normal,0.0,synthetic,ok,ground_truth
BGW-04,CYC-001,1,2025-02-11T00:00:00+00:00,4.0,inject,,262.72774770449706,,,0.0,,0.0,,,0.0,756.4006681236201,,,,,0.0,,0.0,Normal,0.0,synthetic,ok,ground_truth
BGW-04,CYC-001,1,2025-02-12T00:00:00+00:00,5.0,inject,,286.7329502142567,,,0.0,,0.0,,,0.0,942.7896718520433,,,,,0.0,,0.0,Normal,0.0,synthetic,ok,ground_truth
BGW-04,CYC-001,1,2025-02-13T00:00:00+00:00,6.0,inject,,292.82970263056654,,,0.0,,0.0,,,0.0,1070.6884439824516,,,,,0.0,,0.0,Normal,0.0,synthetic,ok,ground_truth
BGW-04,CYC-001,1,2025-02-14T00:00:00+00:00,7.0,inject,,275.6453290305584,,,0.0,,0.0,,,0.0,1261.9024408258588,,,,,0.0,,0.0,Normal,0.0,synthetic,ok,ground_truth
BGW-04,CYC-001,1,2025-02-15T00:00:00+00:00,8.0,inject,,263.9771647510852,,,0.0,,0.0,,,0.0,1464.7493285085811,,,,,0.0,,0.0,Normal,0.0,synthetic,ok,ground_truth
BGW-04,CYC-001,1,2025-02-16T00:00:00+00:00,9.0,inject,,253.25152889039984,,,0.0,,0.0,,,0.0,1686.258298888869,,,,,0.0,,0.0,Normal,0.0,synthetic,ok,ground_truth
BGW-04,CYC-001,1,2025-02-17T00:00:00+00:00,10.0,inject,,254.55361150896957,,,0.0,,0.0,,,0.0,1976.0354063395357,,,,,0.0,,0.0,Normal,0.0,synthetic,ok,ground_truth
