# Dataset: Baghewala Digital Twin - NSGA-II Optimization Scenarios
# Version: 1.3.0
# Generated: 2026-08-27T13:55:00Z
# Description: 300 pre-computed optimization strategies (100 scenarios × 3 strategies)
# Schema: WellState Canonical v1.0 (Optimization Domain)
# Optimizer: NSGA-II Multi-Objective (pymoo)
# Objectives: maximize{Production, -SOR, -Energy, -Risk, NetValue}
# Constraints: 7-rule Safety Interlock Matrix
# Field: Baghewala, Jaisalmer, Rajasthan
# Random Seed: 42
scenario_id,well_id,cycle_id,cycle_day,strategy_name,strategy_label,recommended,proposed_spm,proposed_vfd_pct,proposed_stroke_len_in,proposed_downstroke_speed_factor,predicted_production_bopd,predicted_energy_kwh_day,predicted_rod_risk_pct,predicted_sor,predicted_cost_inr_day,predicted_net_value_inr_day,pareto_rank,interlock_safe,model_confidence_pct,source
OPT-0000,BGW-10,CYC-2,1.5412895427421938,Strategy_A,Strategy_A optimized,True,5.6853808340471845,81.75560847593368,120,0.5796070070292476,239.77497495821243,258.889567519584,23.26329770478484,3.3815739682910086,2588.89567519584,1196285.9791158664,2,True,95.27998309907974,synthetic
OPT-0000,BGW-17,CYC-1,3.000061138676299,Strategy_B,Strategy_B optimized,False,7.574808830155634,86.51505013539314,120,0.5249246053699861,270.02619358611514,322.1844852626237,27.84173485311362,4.094564229551243,3221.844852626237,1346909.1230779493,1,True,97.36311392489176,synthetic
OPT-0000,BGW-19,CYC-3,9.633932577175248,Strategy_C,Strategy_C optimized,False,6.232049136871952,87.01432225922842,80,0.9985185295210277,250.9109943060562,194.41397409594214,12.104336950089579,2.9648506680862416,1944.1397409594215,1252610.8317893215,1,True,71.55390895895636,synthetic
OPT-0001,BGW-20,CYC-2,22.010879694876937,Strategy_A,Strategy_A optimized,True,7.4105432321379325,65.49558352702546,120,0.6346272731569154,233.24568849448028,286.4936718904338,17.882612529239864,4.836983219086968,2864.936718904338,1163363.505753497,1,True,70.77824597191541,synthetic
OPT-0001,BGW-19,CYC-1,2.2850578192238515,Strategy_B,Strategy_B optimized,False,4.578704559064076,76.58101998352339,144,0.5194783499975656,334.01694610082416,352.11469565295914,17.4046883734859,4.311389116837045,3521.1469565295915,1666563.583547591,2,True,71.48720052359008,synthetic
OPT-0001,BGW-11,CYC-2,9.962246613950645,Strategy_C,Strategy_C optimized,False,4.902260283118138,74.1180215439512,144,0.6489357411203155,243.96584763798518,416.7686567775321,7.348057571575967,4.053683444368308,4167.686567775321,1215661.5516221507,2,True,83.65535677680553,synthetic
OPT-0002,BGW-04,CYC-1,12.730635110669452,Strategy_A,Strategy_A optimized,True,5.162795568817954,79.47385061260994,144,0.6542014890252783,241.92750591408634,291.08057011348313,6.100806301381293,3.5102743715451203,2910.8057011348315,1206726.723869297,3,True,74.73864125939326,synthetic
OPT-0002,BGW-04,CYC-2,1.7676141126675462,Strategy_B,Strategy_B optimized,False,6.594560707688768,62.69817160431931,144,0.7078621941092212,253.28945162009225,303.47406392224127,24.08198093744928,3.4872984802103915,3034.740639222413,1263412.517461239,2,True,87.5831692502973,synthetic
OPT-0002,BGW-17,CYC-2,13.632556520189343,Strategy_C,Strategy_C optimized,False,4.038386708621159,62.904656450255025,144,0.5485141985404538,286.96347817842616,308.529493173114,20.481503578304523,2.805595825805639,3085.2949317311404,1431732.0959603996,1,True,76.77544848722668,synthetic
OPT-0003,BGW-06,CYC-1,20.28883070953267,Strategy_A,Strategy_A optimized,True,5.627186645255362,74.53701200867928,120,0.5477086665649138,294.01298148037966,278.0885359955923,24.42407256352302,4.28730008946742,2780.885359955923,1467284.0220419425,1,True,83.24808722259722,synthetic
